country_id,name,name_norm,place,lon,lat
616,Skarszewy,skarszewy,town,18.4459951,54.0717523
616,Nowa Karczma,nowa karczma,village,18.2030529,54.1332171
616,Lubań,luban,village,18.1590104,54.1186528
616,Będomin,bedomin,village,18.123258,54.1233415
616,Mały Klincz,maly klincz,village,18.0561149,54.1251395
616,Nowy Klincz,nowy klincz,village,18.0346019,54.1230709
616,Kościerzyna,koscierzyna,town,17.9781656,54.1210215
616,Kościerska Huta,koscierska huta,village,18.0184846,54.1395739
616,Kaliska Kościerskie,kaliska koscierskie,village,18.0411972,54.1647301
616,Kłobuczyno,klobuczyno,village,18.100334,54.1854852
616,Grabowska Huta,grabowska huta,village,18.1690156,54.1842463
616,Egiertowo,egiertowo,village,18.2030705,54.2394491
616,Kartuzy,kartuzy,town,18.1973639,54.3342281
616,Hopowo,hopowo,village,18.2352915,54.255421
616,Borcz,borcz,village,18.2926722,54.2725375
616,Małkowo,malkowo,village,18.3328877,54.371083
616,Miszewo,miszewo,village,18.359701,54.388973
616,Borowiec,borowiec,village,18.4130274,54.4114792
616,Rębiechowo,rebiechowo,village,18.4257143,54.3857168
616,Osturňa,osturna,village,20.2301162,49.3342292
616,Legnava,legnava,village,20.8510165,49.3392629
616,Malý Lipník,maly lipnik,village,20.7995614,49.3373174
616,Veľká Franková,velka frankova,village,20.2934499,49.3380439
616,Suchá Hora,sucha hora,village,19.7897018,49.3660791
616,Spišská Stará Ves,spisska stara ves,town,20.3598135,49.383146
616,Varadka,varadka,village,21.3842743,49.4124651
616,Majere,majere,village,20.3761997,49.3978054
616,Lechnica,lechnica,village,20.4088983,49.3811048
616,Frička,fricka,village,21.090945,49.4007969
616,Obručné,obrucne,village,20.9835798,49.3056832
616,Červený Kláštor,cerveny klastor,village,20.4171628,49.3989028
616,Vyšná Polianka,vysna polianka,village,21.3516199,49.4285915
616,Vyšný Komárnik,vysny komarnik,village,21.7045723,49.4029525
616,Lesnica,lesnica,village,20.4726867,49.4004916
616,Hutka,hutka,village,21.4284331,49.3988156
616,Krajná Porúbka,krajna porubka,village,21.6484281,49.4137093
616,Šarbov,sarbov,village,21.630318,49.4275325
616,Ondavka,ondavka,village,21.3387586,49.436445
616,Mníšek nad Popradom,mnisek nad popradom,village,20.7164081,49.4141006
616,Starogard Gdański,starogard gdanski,town,18.532113,53.9671805
616,Gdańsk,gdansk,city,18.6540233,54.3482907
616,Gdynia,gdynia,city,18.5402738,54.5164982
616,Chojnice,chojnice,town,17.5614973,53.6952912
616,Krosno Odrzańskie,krosno odrzanskie,town,15.0980258,52.0536361
616,Słubice,slubice,town,14.5662367,52.3557481
616,Kamierowo,kamierowo,village,18.4632576,54.0941862
616,Kamierowskie Piece,kamierowskie piece,village,18.4553502,54.1053649
616,Szczecin,szczecin,city,14.5509623,53.4301818
616,Zielona Góra,zielona gora,city,15.5050408,51.9383777
616,Poznań,poznan,city,16.9335199,52.4082663
616,Wolin,wolin,town,14.6157008,53.843788
616,Kamień Pomorski,kamien pomorski,town,14.7728556,53.9653947
616,Piaseczno,piaseczno,town,21.0270885,52.0747377
616,Gliwice,gliwice,city,18.6657306,50.294113
616,Tarnowskie Góry,tarnowskie gory,town,18.8554757,50.4445194
616,Chorzów,chorzow,city,18.9544466,50.2978791
616,Giszowiec,giszowiec,suburb,19.0677859,50.2218038
616,Dąb,dab,suburb,18.9990507,50.271163
616,Goleszów,goleszow,village,18.7402381,49.7336888
616,Truskaw,truskaw,village,20.7753509,52.3044149
616,Hohenwutzen,hohenwutzen,village,14.1202165,52.8444731
616,Lublin,lublin,city,22.5701022,51.250559
616,Zgierz,zgierz,town,19.4052228,51.8560819
616,Piątek,piatek,town,19.4799726,52.0689883
616,Gieczno,gieczno,village,19.4512635,51.9971082
616,Rogóźno,rogozno,village,19.4490915,51.981775
616,Łódź,lodz,city,19.4569911,51.7687323
616,Tczew,tczew,town,18.8000293,54.0869532
616,Człuchów,czluchow,town,17.3588324,53.6651462
616,Tuchola,tuchola,town,17.8590414,53.5880901
616,Mescherin,mescherin,village,14.4335207,53.2509782
616,Kołbaskowo,kolbaskowo,village,14.4375977,53.3359128
616,Orle,orle,village,18.2130554,54.0526083
616,Wierzchucino,wierzchucino,village,18.000635,54.787668
616,Władysławowo,wladyslawowo,town,18.4087342,54.7901316
616,Liniewo,liniewo,village,18.2307257,54.0790817
616,Jastarnia,jastarnia,town,18.6712892,54.702764
616,Kuźnica,kuznica,village,18.5820385,54.7344758
616,Chałupy,chalupy,village,18.5099321,54.7587099
616,Łeba,leba,town,17.555417,54.7585207
616,Wielki Klincz,wielki klincz,village,18.0615505,54.0994693
616,Angowice,angowice,village,17.56186,53.65568
616,Stołczno,stolczno,village,17.26042,53.71212
