country_id,name,name_norm,place,lon,lat
Kosovo,Prizren,prizren,city,20.7363339,42.2130151
Kosovo,Shtime,shtime,town,21.0363448,42.4341803
Kosovo,Banjë,banje,village,20.7803247,42.4650703
Kosovo,Arllat,arllat,village,20.833699,42.5649856
Kosovo,Podujevë,podujeve,city,21.1925286,42.9078011
Kosovo,Cërnicë,cernice,village,21.4197771,42.4218236
Kosovo,Shushicë,shushice,village,20.5770077,42.808565
Kosovo,Mojstir,mojstir,village,20.5427277,42.7999114
Kosovo,Sinajë,sinaje,village,20.5268812,42.7933752
Kosovo,Dobërçan - Doburçan,dobercan - doburcan,village,21.5688126,42.473074
Kosovo,Kamenicë,kamenice,town,21.5796877,42.5783818
Kosovo,Magurë,magure,village,21.0105862,42.536607
Kosovo,Qylagë,qylage,village,21.0235082,42.5334039
Kosovo,Poturoc,poturoc,village,21.0435606,42.5274956
Kosovo,Torinë,torine,village,21.0597082,42.527165
Kosovo,Rufc i Ri,rufc i ri,village,21.0811376,42.5221999
Kosovo,Rufc i Vjetër,rufc i vjeter,village,21.085922,42.530772
Kosovo,Hallaç i Vogël,hallac i vogel,village,21.0975263,42.5195665
Kosovo,Lipjan,lipjan,town,21.122598,42.5213395
Kosovo,Konjuh,konjuh,village,21.1400963,42.5394477
Kosovo,Dobrotin,dobrotin,village,21.1836727,42.5287912
Kosovo,Banullë,banulle,village,21.1577455,42.5149894
Kosovo,Ribar i Vogël,ribar i vogel,village,21.0637952,42.5152075
Kosovo,Ribar i Madh,ribar i madh,village,21.042248,42.507788
Kosovo,Dobrajë e Vogël,dobraje e vogel,village,21.0295378,42.5474689
Kosovo,Dobrajë e Madhe,dobraje e madhe,village,21.0458361,42.542876
Kosovo,Llugë,lluge,village,21.0522993,42.5570646
Kosovo,Lepina - Lepi,lepina - lepi,village,21.0710159,42.5685197
Kosovo,Skulanevo,skulanevo,village,21.0814237,42.5602045
Kosovo,Radevo - Radevë,radevo - radeve,village,21.0547001,42.5731853
Kosovo,Batuse - Batushë,batuse - batushe,village,21.06838,42.5871235
Kosovo,Donja Gušterica,donja gusterica,village,21.181354,42.546363
Kosovo,Livađe,livade,village,21.1649869,42.5642547
Kosovo,Gornja Gušterica,gornja gusterica,village,21.2071368,42.5502938
Kosovo,Istog i Poshtëm,istog i poshtem,village,20.499389,42.773162
Kosovo,Dushkajë,dushkaje,village,20.513156,42.7816582
Kosovo,Bellopojë - Belo Polje,bellopoje - belo polje,village,20.5674785,42.7752275
Kosovo,Saljijevici,saljijevici,village,20.585338,42.795365
Kosovo,Uqë e Poshtmë,uqe e poshtme,village,20.6123827,42.804507
Kosovo,Uqë,uqe,village,20.6076645,42.8178406
Kosovo,Uqë e Sipërm,uqe e siperm,village,20.606644,42.822756
Kosovo,Zhakovë,zhakove,village,20.5907177,42.8163622
Kosovo,Bajë - Banja,baje - banja,village,20.670443,42.812757
Kosovo,Syriganë - Suvo Grlo,syrigane - suvo grlo,village,20.658271,42.8161594
Kosovo,Veriq,veriq,village,20.5512893,42.7523775
Kosovo,Tupec i Ri,tupec i ri,village,20.601642,42.7479357
Kosovo,Cerrcë,cerrce,village,20.4640119,42.7785194
Kosovo,Kovragë - Kovrage,kovrage - kovrage,village,20.5195817,42.7464544
Kosovo,Vrellë,vrelle,village,20.4054523,42.7696202
Kosovo,Lubozhdë,lubozhde,village,20.438192,42.774594
Kosovo,Prigodë,prigode,village,20.429044,42.75316
Kosovo,Cërkolez - Crkolez,cerkolez - crkolez,village,20.6292434,42.814265
Kosovo,Banjë - Banja,banje - banja,village,20.3874836,42.7254298
Kosovo,Novosellë,novoselle,village,20.329402,42.725293
Kosovo,Vitomiricë - Vitomirica,vitomirice - vitomirica,village,20.346482,42.7009541
Kosovo,Zhegër,zheger,village,21.4905856,42.3609974
Kosovo,Malishevë,malisheve,village,21.5061453,42.4528638
Kosovo,Uglar,uglar,village,21.524944,42.4263352
Kosovo,Novosellë,novoselle,village,21.3226015,42.3829426
Kosovo,Kosaqë,kosaqe,village,21.5020351,42.5013077
Kosovo,Krilevë,krileve,village,21.4630543,42.6770548
Kosovo,Klinë,kline,town,20.57611,42.6179925
Kosovo,Obiliq,obiliq,town,21.0688561,42.686427
Kosovo,Dardani,dardani,suburb,20.7597693,42.2281218
Kosovo,Dajkoc,dajkoc,village,21.6423069,42.5577558
Kosovo,Topanicë,topanice,village,21.6256466,42.5313031
Kosovo,Kërshlanët,kershlanet,village,21.6766656,42.5261123
Kosovo,Shirokë,shiroke,village,20.8191736,42.3440427
Kosovo,Raushiqi i Ri,raushiqi i ri,village,20.3202442,42.6110984
Kosovo,Kosavë,kosave,village,20.6985749,42.0917107
Kosovo,Fushë Kosovë,fushe kosove,town,21.093132,42.6374117
Kosovo,Shtaricë,shtarice,village,20.6838972,42.6237946
Kosovo,Gallapi,gallapi,neighbourhood,21.1793208,42.6837287
Kosovo,Buzez,buzez,village,20.7055244,42.1090681
Kosovo,Roganë,rogane,village,21.6784852,42.5497255
Kosovo,Siqevë,siqeve,village,20.6841781,42.6275952
Kosovo,Suhodoll i Poshtëm,suhodoll i poshtem,village,20.8480123,42.8867381
Kosovo,Karaçevë e Epërme,karaceve e eperme,village,21.7302755,42.5766702
Kosovo,Hodanoc - Odanovce,hodanoc - odanovce,village,21.6795245,42.5377318
Kosovo,Bratilloc,bratilloc,village,21.5886033,42.6338935
Kosovo,Zhur,zhur,village,20.6188323,42.1632539
Kosovo,Bellobradë,bellobrade,village,20.6827389,42.1187575
Kosovo,Ramjan,ramjan,village,21.3129811,42.3783169
Kosovo,Gajre,gajre,village,21.2465595,42.2043384
Kosovo,Struzhë,struzhe,village,20.7939266,42.1452828
Kosovo,Duhël,duhel,village,20.8714701,42.4103796
Kosovo,Isniq,isniq,village,20.3024329,42.5577363
Kosovo,Uglarë - Ugljare,uglare - ugljare,village,21.107764,42.6282738
Kosovo,Berivojcë - Berivojce,berivojce - berivojce,village,21.5863862,42.5672256
Kosovo,Mali Zvečan,mali zvecan,village,20.8473221,42.8994069
Kosovo,Korilje,korilje,village,20.8089548,42.9088412
Kosovo,Jallaç,jallac,village,21.573124,42.650517
Kosovo,Vushtrri,vushtrri,town,20.9674413,42.8219248
Kosovo,Ljubovište – Lubovishtë,ljuboviste - lubovishte,village,20.6630834,42.0556526
Kosovo,Carrabreg i Epërm,carrabreg i eperm,village,20.2918616,42.5268569
Kosovo,Karaçevë e Poshtme,karaceve e poshtme,village,21.7249491,42.5615835
Kosovo,Srbovac,srbovac,village,20.8383449,42.9522725
Kosovo,Leposavić,leposavic,town,20.8010532,43.1019523
Kosovo,Dushanovë,dushanove,suburb,20.7171316,42.2314009
Kosovo,Irzniq,irzniq,village,20.3471836,42.5200124
Kosovo,Kamenica,kamenica,village,20.8231128,43.0167564
Kosovo,Shpenadi,shpenadi,village,20.7572084,42.2729588
Kosovo,Lokvica,lokvica,village,20.7979169,42.1721392
Kosovo,Gjinoc,gjinoc,village,20.8192426,42.3189223
Kosovo,Shipashnicë e Poshtme,shipashnice e poshtme,village,21.655974,42.5765193
Kosovo,Dujakë,dujake,village,20.3719449,42.4554645
Kosovo,Plançor,plancor,village,20.3623714,42.4470545
Kosovo,Dashinoc,dashinoc,village,20.396563,42.5372452
Kosovo,Shajkoc,shajkoc,village,21.2497103,42.8568997
Kosovo,Zli Potok,zli potok,village,20.6610005,41.9777154
Kosovo,Dragaš - Dragash,dragas - dragash,town,20.6533669,42.0615806
Kosovo,Qifllak,qifllak,village,20.521197,42.4617452
Kosovo,Kololeč - Kolloleq,kololec - kolloleq,village,21.6385693,42.5842288
Kosovo,Zhegoc e Ulët,zhegoc e ulet,hamlet,21.3161418,42.5101258
Kosovo,Babush i Muhaxherëve,babush i muhaxhereve,village,21.1806147,42.4689235
Kosovo,Prelez i Muhaxherëve,prelez i muhaxhereve,village,21.1662872,42.4343935
Kosovo,Shkozë,shkoze,village,20.5929701,42.1654396
Kosovo,Malësi e Re,malesi e re,village,20.7957039,42.2814874
Kosovo,Sallagrazhdë,sallagrazhde,village,20.8475764,42.3068996
Kosovo,Hoçë e Madhe - Velika Hoča,hoce e madhe - velika hoca,village,20.6772512,42.3838067
Kosovo,Rimnik,rimnik,hamlet,20.6363765,42.3838844
Kosovo,Rahovec,rahovec,town,20.6527389,42.3998736
Kosovo,Nashec,nashec,village,20.652072,42.2396099
Kosovo,Gjakovë,gjakove,city,20.4316226,42.3798793
Kosovo,Nagllavë,nagllave,village,20.5021084,42.6604744
Kosovo,Mitrovicë,mitrovice,city,20.8657862,42.8790424
Kosovo,Ceceli,ceceli,village,21.0540816,42.8473396
Kosovo,Dobërllukë,doberlluke,village,20.9453916,42.8457665
Kosovo,Suharekë,suhareke,town,20.8315238,42.3621996
Kosovo,Vërmicë,vermice,village,20.5665837,42.1617815
Kosovo,Buçë,buce,village,20.6366981,42.1122754
Kosovo,Plavë,plave,village,20.6480706,42.0987025
Kosovo,Breznë,brezne,village,20.6343807,42.1216616
Kosovo,Zym,zym,village,20.6661809,42.113253
Kosovo,Brodosanë,brodosane,village,20.7242239,42.111545
Kosovo,Brrut,brrut,village,20.696329,42.1277811
Kosovo,Zgatar,zgatar,village,20.709248,42.1292526
Kosovo,Dobrushtë,dobrushte,village,20.5905097,42.1806898
Kosovo,Mlike,mlike,village,20.6443571,42.0292844
Kosovo,Vranište,vraniste,village,20.6283016,42.0429262
Kosovo,Kruševo - Krushevë,krusevo - krusheve,village,20.6384132,41.9794113
Kosovo,Kukuljane,kukuljane,village,20.6563736,42.0477624
Kosovo,Radeša,radesa,village,20.6956867,42.0533239
Kosovo,Leštane,lestane,village,20.6828884,42.0450615
Kosovo,Blaç,blac,village,20.7347617,42.1249647
Kosovo,Kapër,kaper,village,20.6896985,42.1043971
Kosovo,Xërxë,xerxe,village,20.6838191,42.0801941
Kosovo,Kuk,kuk,village,20.7142504,42.1006589
Kosovo,Pllajnik,pllajnik,village,20.7065213,42.0770287
Kosovo,Hoçë e Qytetit,hoce e qytetit,village,20.6910698,42.1746809
Kosovo,Lubiqevë,lubiqeve,village,20.7332066,42.1557169
Kosovo,Poslishtë,poslishte,village,20.6722853,42.1790723
Kosovo,Jeshkovë,jeshkove,village,20.7044845,42.1609654
Kosovo,Billushë,billushe,village,20.6743899,42.1695242
Kosovo,Leskovec,leskovec,village,20.7284119,42.1760943
Kosovo,Vlashnjë,vlashnje,village,20.6560081,42.1992196
Kosovo,Muradem,muradem,village,20.6415839,42.1979398
Kosovo,Kobajë,kobaje,village,20.6640834,42.2153432
Kosovo,Binaj,binaj,hamlet,20.5496721,42.1865973
Kosovo,Mazrek,mazrek,village,20.6166894,42.2351727
Kosovo,Gorozhup,gorozhup,village,20.5465862,42.1769466
Kosovo,Karashëngjergj,karashengjergj,village,20.6088677,42.2658103
Kosovo,Krajk,krajk,village,20.6600013,42.2829577
Kosovo,Lukinaj,lukinaj,village,20.613388,42.2959114
Kosovo,Pllanejë,pllaneje,village,20.5757821,42.2099719
Kosovo,Zymi,zymi,village,20.6265167,42.2729477
Kosovo,Gjonaj,gjonaj,village,20.6238559,42.2539155
Kosovo,Kojushë,kojushe,village,20.6127944,42.2267031
Kosovo,Milaj,milaj,village,20.5598667,42.1982921
Kosovo,Tejec,tejec,hamlet,20.5526936,42.1819941
Kosovo,Romajë,romaje,village,20.5939735,42.2903807
Kosovo,Jeni Mahalla,jeni mahalla,suburb,20.7339207,42.2145706
Kosovo,Tusuz,tusuz,suburb,20.7210897,42.1955432
Kosovo,Shatërvan,shatervan,suburb,20.7378594,42.2090316
Kosovo,Hoçë,hoce,suburb,20.732718,42.203573
Kosovo,Bazhderhane,bazhderhane,suburb,20.7442807,42.217335
Kosovo,Ortakoll,ortakoll,suburb,20.7323972,42.2225162
Kosovo,Marash,marash,suburb,20.7451435,42.2121858
Kosovo,Kurilat,kurilat,suburb,20.7481686,42.2160168
Kosovo,Deçan,decan,town,20.2882372,42.5402266
Kosovo,Donja Budriga,donja budriga,village,21.455591,42.4085151
Kosovo,Domorovce – Domoroc,domorovce - domoroc,village,21.6452778,42.5197222
Kosovo,Ferizaj,ferizaj,city,21.1532848,42.3682168
Kosovo,Klokot - Kllokot,klokot - kllokot,village,21.3748004,42.3694126
Kosovo,Kormnjan i Poshtëm,kormnjan i poshtem,village,21.6261111,42.5069444
Kosovo,Koshare,koshare,village,21.0933333,42.4216667
Kosovo,Livoq i Epërm,livoq i eperm,village,21.4317154,42.4567178
Kosovo,Livoç i Poshtëm,livoc i poshtem,village,21.4530556,42.4311111
Kosovo,Dolac,dolac,village,20.5954817,42.5966667
Kosovo,Kramovik,kramovik,village,20.5227778,42.4819798
Kosovo,Morinë,morine,village,20.243472,42.4089325
Kosovo,Ponoshec,ponoshec,village,20.2842725,42.4072232
Kosovo,Zvečan,zvecan,town,20.8389308,42.9091868
Kosovo,Belo Brdo,belo brdo,village,20.8309722,43.2324548
Kosovo,Lešak,lesak,village,20.7425833,43.1671463
Kosovo,Bob,bob,village,21.2487592,42.225856
Kosovo,Drenas,drenas,town,20.8957543,42.6252526
Kosovo,Skënderaj,skenderaj,town,20.7891645,42.747569
Kosovo,Gjurakoc,gjurakoc,village,20.4719055,42.725361
Kosovo,Klinë e Epërme,kline e eperme,village,20.7841545,42.7910702
Kosovo,Radostë,radoste,village,20.5369458,42.3893176
Kosovo,Dren,dren,village,20.7681243,43.1330563
Kosovo,Sočanica,socanica,village,20.8072601,43.0561114
Kosovo,Valač,valac,hamlet,20.828278,42.9503096
Kosovo,Žitkovac,zitkovac,village,20.8239688,42.9301654
Kosovo,Studenicë,studenice,village,20.3888678,42.7659794
Kosovo,Lubovë - Ljubovo,lubove - ljubovo,village,20.3998971,42.7362357
Kosovo,Kamenicë,kamenice,village,20.3959918,42.7510786
Kosovo,Kaliqan,kaliqan,village,20.3544111,42.759492
Kosovo,Carrallukë - Crni Lug,carralluke - crni lug,village,20.4023904,42.720724
Kosovo,Zallq,zallq,village,20.5030162,42.6952437
Kosovo,Rudicë – Rudice,rudice - rudice,village,20.4911779,42.6813937
Kosovo,Dobruša - Dobrushë,dobrusa - dobrushe,village,20.4299314,42.7244971
Kosovo,Budisalc,budisalc,village,20.4956777,42.6668183
Kosovo,Zllakuqan,zllakuqan,village,20.5429522,42.6598625
Kosovo,Stupë,stupe,village,20.4783849,42.6740907
Kosovo,Trubuhoc,trubuhoc,village,20.4543534,42.6899272
Kosovo,Krushevë e Madhe - Veliko Kruševo,krusheve e madhe - veliko krusevo,village,20.5204439,42.6624635
Kosovo,Kosh,kosh,village,20.5602604,42.6977562
Kosovo,Zoçishtë,zocishte,village,20.7020548,42.3748618
Kosovo,Opterushë,opterushe,village,20.7165407,42.3712928
Kosovo,Samadrexhë,samadrexhe,village,20.7402752,42.3641934
Kosovo,Rakovinë,rakovine,village,20.510012,42.4899629
Kosovo,Kralan,kralan,village,20.5256388,42.5195038
Kosovo,Ratkoc,ratkoc,village,20.5385172,42.4111224
Kosovo,Kçiq i Madh,kciq i madh,village,20.9268354,42.8622206
Kosovo,Злокуќане,zlokukjane,village,21.5417756,42.2475092
Kosovo,Gračanica,gracanica,town,21.1922853,42.5999713
Kosovo,Mazgit,mazgit,village,21.0970512,42.6972257
Kosovo,Bardhosh,bardhosh,village,21.1346529,42.7207888
Kosovo,Jeta e Re,jeta e re,suburb,20.7115604,42.2229799
Kosovo,Korishë,korishe,village,20.796186,42.2581527
Kosovo,Vrellë,vrelle,village,20.7997158,42.2656724
Kosovo,Baqevc,baqevc,village,20.8624339,42.2966781
Kosovo,Mushtishtë,mushtishte,village,20.8900745,42.2989286
Kosovo,Grejkoc,grejkoc,village,20.8319694,42.2856244
Kosovo,Sopijë,sopije,village,20.8443379,42.3362091
Kosovo,Dubravë,dubrave,village,20.8502459,42.3209252
Kosovo,Delloc,delloc,village,20.9194405,42.2839068
Kosovo,Popolan,popolan,village,20.9087413,42.319747
Kosovo,Dvoran,dvoran,village,20.908016,42.3100983
Kosovo,Maqitevë,maqiteve,village,20.9345588,42.3105053
Kosovo,Reqan,reqan,village,20.8675856,42.3608269
Kosovo,Bukosh,bukosh,village,20.8899279,42.3381336
Kosovo,Stravuqinë,stravuqine,village,20.8878348,42.3760255
Kosovo,Buzhalë,buzhale,village,20.9196652,42.3384525
Kosovo,Budakovë,budakove,village,20.9306647,42.3559433
Kosovo,Krushicë e Epërme,krushice e eperme,village,20.9349957,42.3649671
Kosovo,Krushicë e Poshtme,krushice e poshtme,village,20.8997634,42.3602064
Kosovo,Papaz,papaz,village,20.9312924,42.3737636
Kosovo,Mohlan,mohlan,village,20.9030401,42.3731264
Kosovo,Serbicë e Poshtme,serbice e poshtme,village,20.6985349,42.2872449
Kosovo,Landovicë,landovice,village,20.6851737,42.2618434
Kosovo,Velezhë,velezhe,village,20.7414116,42.2789295
Kosovo,Trepetnicë,trepetnice,village,20.7311548,42.271977
Kosovo,Manrec,manrec,hamlet,20.6715046,42.2454872
Kosovo,Atmagjë,atmagje,village,20.6821884,42.241705
Kosovo,Serbicë e Epërme,serbice e eperme,village,20.7231297,42.2796582
Kosovo,Piranë,pirane,village,20.6736504,42.2926751
Kosovo,Zojz,zojz,village,20.6989923,42.2981017
Kosovo,Medvec,medvec,village,20.707251,42.3078158
Kosovo,Mamuşa - Mamushë,mamusa - mamushe,village,20.7259633,42.3315142
Kosovo,Skorobishtë - Skorobište,skorobishte - skorobiste,village,20.810892,42.2313466
Kosovo,Lubizhdë - Ljubižda,lubizhde - ljubizda,village,20.7681195,42.2384995
Kosovo,Pousko,pousko,village,20.763189,42.1942262
Kosovo,Lez,lez,village,20.7538161,42.151744
Kosovo,Jabllanicë,jabllanice,village,20.7676348,42.1712443
Kosovo,Kushtendil,kushtendil,village,20.7535699,42.1656942
Kosovo,Zaplluzhë,zaplluzhe,village,20.7602083,42.1324739
Kosovo,Manastirica,manastirica,village,20.8052287,42.1366454
Kosovo,Nebregoshtë,nebregoshte,village,20.8259117,42.1504236
Kosovo,Lubinjë e Epërme,lubinje e eperme,village,20.8629396,42.1446814
Kosovo,Lubinjë e Poshtme,lubinje e poshtme,village,20.8577972,42.1349935
Kosovo,Orllan,orllan,village,21.3432797,42.8174474
Kosovo,Banja,banja,village,20.5630556,42.9702778
Kosovo,Zubin Potok,zubin potok,town,20.6897381,42.9147673
Kosovo,Peqan,peqan,village,20.8233806,42.3838475
Kosovo,Semetishtë,semetishte,village,20.8060653,42.3920771
Kosovo,Sllapuzhan,sllapuzhan,village,20.8376714,42.3844799
Kosovo,Kërvasari,kervasari,village,20.7768572,42.4367914
Kosovo,Bërshanc,bershanc,village,20.7786263,42.4113516
Kosovo,Reshtan,reshtan,village,20.8009831,42.3591148
Kosovo,Nishor,nishor,village,20.7953579,42.4188297
Kosovo,Lagjja e Brahavit,lagjja e brahavit,neighbourhood,20.7960028,42.4244379
Kosovo,Junik,junik,village,20.2773737,42.4761209
Kosovo,Prekaz i Epërm,prekaz i eperm,village,20.8301318,42.7798304
Kosovo,Prekaz,prekaz,village,20.8121921,42.7519093
Kosovo,Kaçandoll,kacandoll,village,21.0594751,42.9885503
Kosovo,Kërpimeh,kerpimeh,village,21.1572176,42.9938427
Kosovo,Peran,peran,village,21.1663991,42.9290781
Kosovo,Rakosh,rakosh,village,20.6089345,42.7864333
Kosovo,Plemetin - Plemetina,plemetin - plemetina,village,21.0440069,42.7069227
Kosovo,Jažince,jazince,village,20.9873528,42.2158079
Kosovo,Rezala,rezala,village,20.6275672,42.9307614
Kosovo,Brnjak,brnjak,village,20.5434031,42.9453342
Kosovo,Badoc,badoc,village,21.2219966,42.6118392
Kosovo,Janjevë,janjeve,village,21.24677,42.5728721
Kosovo,Sushicë - Sušica,sushice - susica,village,21.2095219,42.5791371
Kosovo,Čečevo,cecevo,village,20.6117217,42.9177345
Kosovo,Dumosh,dumosh,village,21.2166398,42.854903
Kosovo,Krstac,krstac,village,20.6013972,42.0682674
Kosovo,Rapča,rapca,village,20.6164322,42.088008
Kosovo,Bujan,bujan,village,21.0772794,42.483986
Kosovo,Bregu i Zi,bregu i zi,village,21.0548629,42.4747694
Kosovo,Grackë e Vogël,gracke e vogel,village,21.0982073,42.4834301
Kosovo,Rashincë,rashince,village,21.0753301,42.4432947
Kosovo,Gjergjaj,gjergjaj,village,21.0893725,42.4687109
Kosovo,Topliqan,topliqan,village,21.116843,42.4861241
Kosovo,Hallaç i Madh,hallac i madh,village,21.0841308,42.50465
Kosovo,Godanc i Epërm,godanc i eperm,village,21.0348858,42.4667995
Kosovo,Godanc i Poshtëm,godanc i poshtem,village,21.0467948,42.4562093
Kosovo,Grackë e Vjetër - Staro Gracko,gracke e vjeter - staro gracko,village,21.1032714,42.5037485
Kosovo,Vërshec,vershec,village,21.007013,42.5220888
Kosovo,Vrellë,vrelle,village,21.0126233,42.5663019
Kosovo,Medvec,medvec,village,21.0079001,42.5515965
Kosovo,Leletiq,leletiq,village,20.9975171,42.5355048
Kosovo,Kraishtë,kraishte,village,21.0468671,42.4938543
Kosovo,Harilaq,harilaq,village,21.0006264,42.5836103
Kosovo,Henc,henc,village,21.0458293,42.5897929
Kosovo,Laplje Selo,laplje selo,village,21.1410738,42.5963994
Kosovo,Preoce,preoce,village,21.1200534,42.5975103
